submission_a,submission_b,assignment_id,token_similarity,line_similarity,length_similarity,typing_speed_gap,idle_ratio_gap,paste_ratio_gap,tab_switch_gap,suspicion_gap,label,risk_level
sub_0001,sub_0002,assignment_001,0.25,0.0,0.9371,5,0.06,0.02,1,3,0,low
sub_0001,sub_0003,assignment_001,0.6667,0.3333,0.7322,7,0.02,0.01,1,3,0,medium
sub_0001,sub_0004,assignment_001,0.6316,0.0714,0.8657,8,0.1,0.01,2,8,0,medium
sub_0001,sub_0005,assignment_001,0.4783,0.0,0.7614,4,0.03,0.02,0,4,0,low
sub_0001,sub_0006,assignment_001,0.4762,0.0,0.8806,3,0.08,0.01,1,6,0,low
sub_0001,sub_0007,assignment_001,0.7222,0.0,0.791,2,0.01,0.02,0,1,0,medium
sub_0001,sub_0008,assignment_001,0.75,0.4,0.6872,6,0.13,0.0,3,11,0,medium
sub_0001,sub_0009,assignment_001,0.4583,0.0,0.6411,9,0.03,0.03,1,5,0,low
sub_0001,sub_0010,assignment_001,0.65,0.2143,1.0,1,0.05,0.01,1,5,0,medium
sub_0001,sub_0011,assignment_001,0.3333,0.0,0.67,4,0.09,0.01,2,9,0,low
sub_0001,sub_1001,assignment_001,0.8824,0.4286,0.9851,38,0.29,0.75,8,83,0,high
sub_0001,sub_1002,assignment_001,0.5238,0.0,0.9781,35,0.26,0.78,7,81,0,low
sub_0001,sub_1003,assignment_001,0.3043,0.0,0.9179,41,0.32,0.81,9,87,0,low
sub_0001,sub_1004,assignment_001,0.35,0.25,0.9571,37,0.27,0.76,8,82,0,low
sub_0001,sub_1005,assignment_001,0.6111,0.0714,0.6791,33,0.24,0.7,6,78,0,medium
sub_0001,sub_1006,assignment_001,0.5238,0.0,0.9926,39,0.3,0.79,10,86,0,low
sub_0001,sub_1007,assignment_001,0.7059,0.0,0.6642,31,0.23,0.66,7,75,0,medium
sub_0001,sub_1008,assignment_001,0.55,0.0,0.8433,36,0.28,0.74,8,80,0,low
sub_0001,sub_1009,assignment_001,0.35,0.0,0.8645,40,0.31,0.82,9,88,0,low
sub_0001,sub_1010,assignment_001,0.3182,0.0,0.9627,34,0.25,0.72,7,79,0,low
sub_0002,sub_0003,assignment_001,0.2222,0.0,0.7814,12,0.08,0.01,2,6,0,low
sub_0002,sub_0004,assignment_001,0.2609,0.0,0.8112,3,0.04,0.03,1,5,0,low
sub_0002,sub_0005,assignment_001,0.2308,0.0,0.8125,9,0.03,0.04,1,1,0,low
sub_0002,sub_0006,assignment_001,0.2083,0.0,0.8252,2,0.02,0.01,0,3,0,low
sub_0002,sub_0007,assignment_001,0.3182,0.0,0.7413,7,0.07,0.0,1,4,0,low
sub_0002,sub_0008,assignment_001,0.2222,0.0,0.7333,1,0.07,0.02,2,8,0,low
sub_0002,sub_0009,assignment_001,0.2222,0.0,0.6842,14,0.09,0.01,2,8,0,low
