submission_a,submission_b,assignment_id,code_a,code_b,token_similarity,line_similarity,length_similarity,structure_similarity,typing_speed_gap,idle_ratio_gap,paste_ratio_gap,tab_switch_gap,suspicion_gap,label
sub_0001,sub_0002,assignment_001,"n = int(input(""Enter number: ""))

a = 0
b = 1

print(a)
print(b)

for i in range(2, n):
    c = a + b
    print(c)
    a = b
    b = c","n = int(input(""How many terms? ""))

x = 0
y = 1
count = 0

while count < n:
    print(x)
    temp = x + y
    x = y
    y = temp
    count += 1",0.25,0.0,0.9370629370629371,0.0,5,0.06,0.019999999999999997,1,3,0
sub_0001,sub_0003,assignment_001,"n = int(input(""Enter number: ""))

a = 0
b = 1

print(a)
print(b)

for i in range(2, n):
    c = a + b
    print(c)
    a = b
    b = c","def fibonacci(num):
    a = 0
    b = 1

    for i in range(num):
        print(a, end="" "")
        c = a + b
        a = b
        b = c

n = int(input(""Enter limit: ""))
fibonacci(n)",0.6666666666666666,0.3333333333333333,0.73224043715847,0.49999000019999595,7,0.01999999999999999,0.009999999999999998,1,3,0
sub_0001,sub_0004,assignment_001,"n = int(input(""Enter number: ""))

a = 0
b = 1

print(a)
print(b)

for i in range(2, n):
    c = a + b
    print(c)
    a = b
    b = c","n = int(input(""Enter value: ""))

fib = [0, 1]

for i in range(2, n):
    fib.append(fib[i-1] + fib[i-2])

print(fib)",0.631578947368421,0.07142857142857142,0.8656716417910447,0.9999600015999357,8,0.1,0.010000000000000002,2,8,0
sub_0001,sub_0005,assignment_001,"n = int(input(""Enter number: ""))

a = 0
b = 1

print(a)
print(b)

for i in range(2, n):
    c = a + b
    print(c)
    a = b
    b = c","def fib(n):
    if n <= 1:
        return n
    else:
        return fib(n-1) + fib(n-2)

terms = int(input(""Enter terms: ""))

for i in range(terms):
    print(fib(i), end="" "")",0.4782608695652174,0.0,0.7613636363636364,0.33332888894814733,4,0.03,0.020000000000000004,0,4,0
sub_0001,sub_0006,assignment_001,"n = int(input(""Enter number: ""))

a = 0
b = 1

print(a)
print(b)

for i in range(2, n):
    c = a + b
    print(c)
    a = b
    b = c","num = int(input(""enter no""))

f = 0
s = 1

for i in range(num):

    print(f)

    next = f + s
    f = s
    s = next",0.47619047619047616,0.0,0.8805970149253731,0.9999600015999357,3,0.08000000000000002,0.009999999999999998,1,6,0
sub_0001,sub_0007,assignment_001,"n = int(input(""Enter number: ""))

a = 0
b = 1

print(a)
print(b)

for i in range(2, n):
    c = a + b
    print(c)
    a = b
    b = c","n = int(input(""Enter terms: ""))

a, b = 0, 1

for i in range(n):
    print(a, end="" "")
    a, b = b, a + b",0.7222222222222222,0.0,0.7910447761194029,0.9999600015999357,2,0.009999999999999995,0.019999999999999997,0,1,0
sub_0001,sub_0008,assignment_001,"n = int(input(""Enter number: ""))

a = 0
b = 1

print(a)
print(b)

for i in range(2, n):
    c = a + b
    print(c)
    a = b
    b = c","n = int(input(""Enter a positive number: ""))

if n <= 0:
    print(""Invalid input"")
else:
    a = 0
    b = 1

    for i in range(n):
        print(a)
        c = a + b
        a = b
        b = c",0.75,0.4,0.6871794871794872,0.49999000019999595,6,0.13,0.0,3,11,0
sub_0001,sub_0009,assignment_001,"n = int(input(""Enter number: ""))

a = 0
b = 1

print(a)
print(b)

for i in range(2, n):
    c = a + b
    print(c)
    a = b
    b = c","def fibo(n):
    if n == 0:
        return 0
    elif n == 1:
        return 1
    else:
        return fibo(n-1) + fibo(n-2)

n = int(input())

arr = []

for i in range(n):
    arr.append(fibo(i))

print(arr)",0.4583333333333333,0.0,0.6411483253588517,0.33332888894814733,9,0.03,0.03,1,5,0
sub_0001,sub_0010,assignment_001,"n = int(input(""Enter number: ""))

a = 0
b = 1

print(a)
print(b)

for i in range(2, n):
    c = a + b
    print(c)
    a = b
    b = c","n = int(input(""Enter number: ""))

a = 0
b = 1

print(""Fibonacci Series"")

for _ in range(n):
    print(a, end="" "")
    a, b = b, a + b",0.65,0.21428571428571427,1.0,0.9999600015999357,1,0.05000000000000002,0.010000000000000002,1,5,0
sub_0001,sub_0011,assignment_001,"n = int(input(""Enter number: ""))

a = 0
b = 1

print(a)
print(b)

for i in range(2, n):
    c = a + b
    print(c)
    a = b
    b = c","# fibonacci series program

n = int(input(""Enter terms""))

first = 0
second = 1

i = 1

while i <= n:

    print(first)

    third = first + second
    first = second
    second = third

    i = i + 1",0.3333333333333333,0.0,0.67,0.0,4,0.09,0.009999999999999998,2,9,0
sub_0001,sub_1001,assignment_001,"n = int(input(""Enter number: ""))

a = 0
b = 1

print(a)
print(b)

for i in range(2, n):
    c = a + b
    print(c)
    a = b
    b = c","n = int(input(""Enter number""))

a = 0
b = 1

print(a)
print(b)

for i in range(2, n):
    d = a + b
    print(d)
    a = b
    b = d",0.8823529411764706,0.42857142857142855,0.9850746268656716,0.9999600015999357,38,0.29,0.75,8,83,0
